nohup: ignoring input
 INFO  Accepting connections at http://localhost:3000
 HTTP  11/22/2025 6:36:13 PM ::1 GET /images/logos/ballynafeigh.jpg
 HTTP  11/22/2025 6:36:13 PM ::1 Returned 200 in 0 ms
 HTTP  11/22/2025 6:36:13 PM ::1 GET /images/logos/ballypatrick.jpg
 HTTP  11/22/2025 6:36:13 PM ::1 Returned 200 in 1 ms
 HTTP  11/22/2025 6:36:13 PM ::1 GET /images/logos/balrothery.png
 HTTP  11/22/2025 6:36:13 PM ::1 Returned 200 in 2 ms
 HTTP  11/22/2025 6:36:14 PM ::1 GET /images/logos/bangor.png
 HTTP  11/22/2025 6:36:14 PM ::1 Returned 200 in 1 ms
 HTTP  11/22/2025 6:36:14 PM ::1 GET /images/logos/bandon-tennis-club.png
 HTTP  11/22/2025 6:36:14 PM ::1 GET /images/logos/bective.png
 HTTP  11/22/2025 6:36:14 PM ::1 Returned 304 in 2 ms
 HTTP  11/22/2025 6:36:14 PM ::1 Returned 200 in 2 ms
 HTTP  11/22/2025 6:36:14 PM ::1 GET /images/logos/belfast-boat-club-22.ico
 HTTP  11/22/2025 6:36:14 PM ::1 Returned 200 in 1 ms
 HTTP  11/22/2025 6:36:14 PM ::1 GET /images/logos/bishopstown-lawn-tennis-club.ico
 HTTP  11/22/2025 6:36:14 PM ::1 Returned 200 in 1 ms
 HTTP  11/22/2025 6:36:14 PM ::1 GET /images/logos/blackrock.png
 HTTP  11/22/2025 6:36:14 PM ::1 Returned 200 in 1 ms
 HTTP  11/22/2025 6:36:14 PM ::1 GET /images/logos/botany.png
 HTTP  11/22/2025 6:36:14 PM ::1 GET /images/logos/boyle-community-tennis-courts.png
 HTTP  11/22/2025 6:36:14 PM ::1 Returned 200 in 2 ms
 HTTP  11/22/2025 6:36:14 PM ::1 GET /images/logos/brookfield.png
 HTTP  11/22/2025 6:36:14 PM ::1 GET /images/logos/bushy.png
 HTTP  11/22/2025 6:36:14 PM ::1 Returned 200 in 5 ms
 HTTP  11/22/2025 6:36:14 PM ::1 Returned 200 in 3 ms
 HTTP  11/22/2025 6:36:14 PM ::1 Returned 200 in 2 ms
 HTTP  11/22/2025 6:36:14 PM ::1 GET /images/logos/butthall.png
 HTTP  11/22/2025 6:36:14 PM ::1 Returned 200 in 1 ms
 HTTP  11/22/2025 6:36:14 PM ::1 GET /images/logos/caherconlish.jpg
 HTTP  11/22/2025 6:36:14 PM ::1 Returned 200 in 1 ms
 HTTP  11/22/2025 6:36:14 PM ::1 GET /images/logos/carlow-lawn-tennis-club-31.ico
 HTTP  11/22/2025 6:36:14 PM ::1 Returned 200 in 1 ms
 HTTP  11/22/2025 6:36:14 PM ::1 GET /images/logos/carraig-lawn-tennis-club.png
 HTTP  11/22/2025 6:36:14 PM ::1 Returned 200 in 1 ms
 HTTP  11/22/2025 6:36:14 PM ::1 GET /images/logos/carrickonshannon.png
 HTTP  11/22/2025 6:36:14 PM ::1 Returned 200 in 1 ms
 HTTP  11/22/2025 6:36:14 PM ::1 GET /images/logos/carrickmacross.png
 HTTP  11/22/2025 6:36:14 PM ::1 Returned 200 in 1 ms
 HTTP  11/22/2025 6:36:14 PM ::1 GET /images/logos/carrickmines.png
 HTTP  11/22/2025 6:36:14 PM ::1 Returned 200 in 1 ms
 HTTP  11/22/2025 6:36:14 PM ::1 GET /images/logos/carrigaline.png
 HTTP  11/22/2025 6:36:14 PM ::1 Returned 200 in 1 ms
 HTTP  11/22/2025 6:36:14 PM ::1 GET /images/logos/castlebar.png
